Date,Product ID,Product Name,Category,Quantity,Price,Cost Price,Profit,Customer,Damaged Quantity
2025-09-01,K001,Aashirvaad Atta (5kg),Grains & Flour,1,280,240,40,S3064,0
2025-09-01,K002,Tata Salt (1kg),Salt & Sugar,2,28,22,12,S3065,0
2025-09-01,K003,Tur Dal (Premium 1kg),Pulses,1,165,140,25,S3066,0
2025-09-01,K004,Maggi Masala Noodles (Pack of 4),Instant Food,4,60,52,32,S3067,0
2025-09-01,K005,Fortune Mustard Oil (1L),Cooking Oil,1,145,130,15,S3068,0
2025-09-02,K006,Amul Butter (100g),Dairy,1,56,50,6,S3069,0
2025-09-02,K007,Basmati Rice (1kg),Grains & Flour,1,110,90,20,S3070,0
2025-09-02,K008,Dettol Liquid Soap Refill,Personal Care,1,99,85,14,S3071,0
2025-09-02,K009,Vim Dishwash Bar (Large),Cleaning,1,30,25,5,S3072,0
2025-09-03,K010,Saffola Gold Oil (1L),Cooking Oil,1,175,160,15,S3073,0
2025-09-03,K011,Moong Dal (500g),Pulses,1,75,60,15,S3074,0
2025-09-03,K012,Britannia Marie Gold,Snacks,1,40,34,6,S3075,0
2025-09-04,K013,Surf Excel Easy Wash (1kg),Cleaning,1,135,115,20,S3076,0
2025-09-04,K014,MDH Garam Masala (100g),Spices,1,85,72,13,S3077,0
2025-09-04,K015,Clinic Plus Shampoo (175ml),Personal Care,1,95,82,13,S3078,0
2025-09-05,K016,Parle-G (Big Pack),Snacks,2,25,21,8,S3079,0
2025-09-05,K017,Sugar (Loose 1kg),Salt & Sugar,1,44,39,5,S3080,0
2025-09-05,K018,Tea Leaves (Red Label 250g),Beverages,1,125,110,15,S3081,0
2025-09-06,K019,Rin Soap Bar (Set of 3),Cleaning,3,45,38,21,S3082,0
2025-09-06,K020,Colgate MaxFresh (150g),Personal Care,1,105,92,13,S3083,0
2025-09-06,K021,Chana Dal (1kg),Pulses,1,90,75,15,S3084,0
2025-09-07,K022,Haldiram Bhujia (200g),Snacks,1,55,47,8,S3085,0
2025-09-07,K023,Nescafe Classic (50g jar),Beverages,1,170,155,15,S3086,0
2025-09-07,K024,Bournvita (500g Pack),Beverages,1,220,195,25,S3087,0
2025-09-08,K025,Lifebuoy Soap (Pack of 3),Personal Care,1,110,95,15,S3088,0
2025-09-08,K026,Everest Turmeric Powder (100g),Spices,1,32,26,6,S3089,0
2025-09-08,K027,Harpic Toilet Cleaner (500ml),Cleaning,2,105,90,30,S3090,0
2025-09-09,K028,Poha (Thick 1kg),Grains & Flour,1,60,48,12,S3091,0
2025-09-09,K029,Cinthol Cool Soap (Set),Personal Care,1,155,135,20,S3092,0
2025-09-09,K030,Kissan Tomato Ketchup (950g),Instant Food,1,145,125,20,S3093,0
2025-09-10,K031,Rajma (Chitra 1kg),Pulses,1,150,130,20,S3094,0
2025-09-10,K032,Patanjali Honey (250g),Beverages,1,115,100,15,S3095,0
2025-09-10,K033,Matchbox (Bundle),Miscellaneous,3,10,7,9,S3096,0
2025-09-11,K034,Besan (Gram Flour 500g),Grains & Flour,1,65,52,13,S3097,0
2025-09-11,K035,Ghee (Amul 500ml),Dairy,1,350,320,30,S3098,0
2025-09-11,K036,Washing Powder (Ariel 500g),Cleaning,1,85,75,10,S3099,0
2025-09-12,K037,Garlic Paste (Mother's Recipe),Instant Food,2,45,38,14,S3100,0
2025-09-12,K038,Basmati Rice (Loose 5kg),Grains & Flour,1,450,400,50,S3101,0
2025-09-12,K039,Edible Oil Tin (15L),Cooking Oil,1,2100,1950,150,S3102,0
2025-09-13,K040,Urad Dal (1kg),Pulses,1,140,120,20,S3103,0
2025-09-13,K041,Good Day Biscuits,Snacks,2,30,25,10,S3104,0
2025-09-13,K042,Lays Potato Chips (Blue),Snacks,5,20,17,15,S3105,0
2025-09-14,K043,Lizol Floor Cleaner (2L),Cleaning,1,385,350,35,S3106,0
2025-09-14,K044,Kabuli Chana (1kg),Pulses,1,125,105,20,S3107,0
2025-09-14,K045,Mortein Coil (10 pack),Miscellaneous,1,38,32,6,S3108,0
